302, 1496
307, 1408
303, 1488
305, 1496
307, 1440
307, 1456
301, 1488
305, 1512
304, 1408
306, 1472
306, 1472
308, 1416
301, 1448
307, 1520
308, 1472
307, 1448
302, 1416
311, 1432
308, 1528
307, 1552
303, 1392
308, 1448
306, 1512
311, 1480
308, 1560
308, 1496
307, 1408
305, 1512
303, 1512
309, 1488
308, 1504
316, 1416
308, 1464
306, 1520
307, 1440
302, 1432
302, 1432
305, 1368
306, 1328
305, 1400
304, 1408
304, 1456
600, 1944
545, 3384
514, 2664
304, 1496
503, 2112
482, 3944
467, 5152
456, 2936
425, 3232
461, 3096
407, 5424
405, 5528
385, 3104
392, 6416
376, 10376
359, 7832
354, 6656
354, 7120
342, 8160
344, 12984
330, 12616
316, 9272
355, 5872
292, 6928
304, 9888
288, 4568
262, 4384
302, 4744
303, 7824
296, 6736
281, 8256
233, 7376
228, 6272
260, 8344
226, 9208
226, 9168
248, 6184
231, 8424
216, 5920
221, 7416
226, 10112
222, 5856
250, 2416
217, 5816
274, 2288
215, 4680
217, 2888
315, 2488
312, 3200
312, 2264
225, 2672
216, 1840
239, 2768
238, 2056
230, 1728
222, 1824
219, 1624
305, 1416
218, 2328
216, 1392
307, 1368
303, 1176
309, 1528
305, 1456
314, 1392
306, 1520
300, 1384
308, 1496
303, 1408
306, 1368
302, 1544
309, 1344
301, 1464
306, 1424
